user,tech,id,rho,angle,w,a,we,ae,mt,error
ali,eye,5.0,0.2,307.6391641937759,29.63429515590201,231.4871699525438,41.60987293294614,379.1431440938137,1.5884990692138672,0
ali,eye,5.0,0.2,35.832577570126425,29.634295155902237,243.74603464944465,54.50046862424046,379.72714102433014,1.3000810146331787,0
ali,eye,5.0,0.2,339.1646475390776,29.634295155902237,254.49160243351915,47.47172229231316,361.51683319908824,1.451347827911377,0
ali,eye,5.0,0.2,6.832337772615822,29.63429515590269,260.66844915682987,31.69655137268894,334.3279634519324,1.289674997329712,0
ali,eye,5.0,0.2,173.16766222738408,29.634295155902237,260.66844915683004,11.293778630859295,301.6669712578404,1.4691250324249268,0
ali,eye,5.0,0.2,200.83535246092245,29.634295155902237,254.4916024335192,10.531846589704054,271.5191062471443,1.0952470302581787,0
ali,eye,5.0,0.2,144.16742242987357,29.634295155902237,243.74603464944443,24.862225096599516,255.0743401885111,1.2511940002441406,0
ali,eye,5.0,0.2,232.3608358062241,29.634295155902237,231.4871699525437,34.83390699757899,260.671438265979,1.134484052658081,0
ali,eye,5.0,0.2,109.41000060152122,29.634295155902237,221.67131882688324,19.721508412758986,283.21689021607654,1.0843760967254639,0
ali,eye,5.0,0.2,270.0,29.63429515590201,217.89899599350963,1.9494979967547579,315.0,1.1177268028259277,0
ali,eye,6.0,0.1,307.6391641937759,14.581954759253449,231.4871699525438,43.44193269170949,377.062769370588,2.037813901901245,0
ali,eye,6.0,0.1,35.832577570126425,14.581954759253676,243.74603464944465,51.348062575693774,380.447353805158,1.6363790035247803,0
ali,eye,6.0,0.1,339.1646475390776,14.581954759253449,254.49160243351915,43.154374032850605,368.1915226418823,1.56821608543396,0
ali,eye,6.0,0.1,6.832337772615822,14.581954759253222,260.66844915682987,32.808414275125585,338.06162878317,1.7851219177246094,0
ali,eye,6.0,0.1,173.16766222738408,14.581954759253676,260.66844915683004,10.419844487925653,301.6669712578404,2.202101230621338,1
ali,eye,6.0,0.1,200.83535246092245,14.581954759253676,254.4916024335192,11.68969197675043,273.25587432771385,1.9174017906188965,0
ali,eye,6.0,0.1,144.16742242987357,14.581954759253222,243.74603464944443,23.33128122653203,253.99402101726932,1.6419241428375244,0
ali,eye,6.0,0.1,232.3608358062241,14.581954759253449,231.4871699525437,32.09591818433535,255.37664645038782,2.2451908588409424,1
ali,eye,6.0,0.1,109.41000060152122,14.581954759253676,221.67131882688324,19.775321026125738,279.2195310145192,1.5850679874420166,0
ali,eye,6.0,0.1,270.0,14.581954759253449,217.89899599350963,2.9494979967547574,313.0,1.5694060325622559,1
ali,eye,4.0,0.3,307.6391641937759,61.24420998886467,231.4871699525438,37.15388101826896,384.2098225947453,0.7562811374664307,0
ali,eye,4.0,0.3,35.832577570126425,61.24420998886444,243.74603464944465,55.671306103894004,384.00610881994095,1.0973529815673828,0
ali,eye,4.0,0.3,339.1646475390776,61.24420998886467,254.49160243351915,57.041025202723134,351.2361628927549,0.9846279621124268,0
ali,eye,4.0,0.3,6.832337772615822,61.24420998886444,260.66844915682987,43.53355274983232,311.80700708475547,1.1180500984191895,0
ali,eye,4.0,0.3,173.16766222738408,61.244209988864895,260.66844915683004,19.040221537510593,279.9421681385187,0.9338808059692383,0
ali,eye,4.0,0.3,200.83535246092245,61.24420998886467,254.4916024335192,16.23027923177452,272.36291834546773,1.0384290218353271,0
ali,eye,4.0,0.3,144.16742242987357,61.24420998886444,243.74603464944443,21.305436925049502,255.0763070317441,0.9799931049346924,0
ali,eye,4.0,0.3,232.3608358062241,61.24420998886467,231.4871699525437,26.17023813268694,244.7668611694026,1.0181410312652588,0
ali,eye,4.0,0.3,109.41000060152122,61.24420998886444,221.67131882688324,21.60783774683674,278.3396290407818,0.8519039154052734,0
ali,eye,4.0,0.3,270.0,61.24420998886467,217.89899599350963,8.050502003245242,327.0,0.9844169616699219,0
ali,eye,5.0,0.2,307.6391641937759,29.63429515590201,231.4871699525438,46.676551433877776,370.6606610398177,1.1202270984649658,0
ali,eye,5.0,0.2,35.832577570126425,29.634295155902237,243.74603464944465,47.654513519909685,380.31255976415696,1.1179039478302002,0
ali,eye,5.0,0.2,339.1646475390776,29.634295155902237,254.49160243351915,42.443006636927294,373.7991609907913,0.989077091217041,0
ali,eye,5.0,0.2,6.832337772615822,29.63429515590269,260.66844915682987,31.45862261318594,339.64934920461263,1.363257884979248,0
ali,eye,5.0,0.2,173.16766222738408,29.634295155902237,260.66844915683004,12.048748394041441,300.6740727351552,1.0008370876312256,0
ali,eye,5.0,0.2,200.83535246092245,29.634295155902237,254.4916024335192,14.71675014676649,275.4807708086452,1.0343348979949951,0
ali,eye,5.0,0.2,144.16742242987357,29.634295155902237,243.74603464944443,26.483687275078722,259.2185139431209,0.9842000007629395,0
ali,eye,5.0,0.2,232.3608358062241,29.634295155902237,231.4871699525437,29.720300992883836,256.77920543379275,1.1390759944915771,0
ali,eye,5.0,0.2,109.41000060152122,29.634295155902237,221.67131882688324,21.38313721343503,277.9978532007119,1.0131402015686035,0
ali,eye,5.0,0.2,270.0,29.63429515590201,217.89899599350963,2.050502003245242,319.0,1.3682589530944824,0
ali,eye,4.0,0.3,307.6391641937759,61.24420998886467,231.4871699525438,46.676551433877776,364.9832959526316,1.2898080348968506,0
ali,eye,4.0,0.3,35.832577570126425,61.24420998886444,243.74603464944465,61.03255991397964,366.934513370087,0.949152946472168,0
ali,eye,4.0,0.3,339.1646475390776,61.24420998886467,254.49160243351915,51.11935356509113,346.8280203401309,0.882620096206665,0
ali,eye,4.0,0.3,6.832337772615822,61.24420998886444,260.66844915682987,21.689785250759147,341.7541106297344,1.0345418453216553,0
ali,eye,4.0,0.3,173.16766222738408,61.244209988864895,260.66844915683004,7.244403645040367,313.5817535300621,0.9006280899047852,0
