tech,id,rho,angle,w,a,we,ae,mt,error
none,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,-10.650028731,750.380389336228,2.6964738368988037,1
none,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,-0.818393205144,753.5382309004374,3.206346035003662,3
none,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-9.11866417778,756.041264471916,2.224853992462158,2
none,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,0.388102736523,758.2030456143041,2.1611099243164062,1
none,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,-0.640410580297,765.2363702138802,1.6498942375183105,1
none,6.0,0.1,270.0,12.151628966044427,765.5526248608082,-0.776312430404,765.0,2.3461039066314697,1
none,6.0,0.1,73.63636363636364,12.151628966044882,765.5526248608081,-1.48053471077,762.1904540392853,1.944840908050537,0
none,6.0,0.1,237.27272727272725,12.151628966044882,765.5526248608081,1.6349657536,765.1125173657381,4.252629995346069,5
none,6.0,0.1,40.90909090909091,12.151628966044427,765.5526248608082,3.28516282025,769.6942845017841,5.846984148025513,8
none,6.0,0.1,204.54545454545453,12.151628966044427,765.5526248608081,6.83903521316,775.6272098632462,5.038478851318359,2
none,4.0,0.3,171.81818181818178,51.03684165738741,765.5526248608082,-15.6055183664,749.8111299831348,1.6205658912658691,1
none,4.0,0.3,335.45454545454544,51.03684165738741,765.5526248608082,-12.6436091448,735.1665818883974,1.4355251789093018,0
none,4.0,0.3,139.0909090909091,51.036841657387185,765.5526248608082,8.91843676632,764.2536209494039,2.060515880584717,1
none,4.0,0.3,302.7272727272727,51.03684165738741,765.5526248608082,3.75080651675,774.8417417288365,1.1435461044311523,0
none,4.0,0.3,106.36363636363633,51.036841657387185,765.5526248608081,-3.06170828878,761.961863433105,0.7995409965515137,0
none,4.0,0.3,270.0,51.036841657387185,765.5526248608082,-12.7763124304,754.0,1.2856910228729248,0
none,4.0,0.3,73.63636363636364,51.03684165738696,765.5526248608081,-15.8117759626,736.908762217806,1.5174570083618164,0
none,4.0,0.3,237.27272727272725,51.03684165738741,765.5526248608081,-9.42018904869,738.5559119949137,1.417625904083252,0
none,4.0,0.3,40.90909090909091,51.03684165738741,765.5526248608082,-9.36080226296,745.7634369521833,3.4038150310516357,1
none,4.0,0.3,204.54545454545453,51.03684165738741,765.5526248608081,-9.51293553697,744.7999291567916,1.5858678817749023,0
none,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,-7.39593472878,756.4616328257868,20.530652046203613,21
none,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,-4.45692118656,753.4594289310867,2.990230083465576,0
none,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-3.17355642335,758.9633739289242,3.276927947998047,2
none,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,1.76999708681,764.2106792196112,3.058868885040283,1
none,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,3.64673112475,770.7647374493868,2.4732561111450195,0
none,6.0,0.1,270.0,12.151628966044427,765.5526248608082,2.2236875696,771.0,2.0908238887786865,0
none,6.0,0.1,73.63636363636364,12.151628966044882,765.5526248608081,-0.917069597087,766.7593283011774,2.4264910221099854,0
none,6.0,0.1,237.27272727272725,12.151628966044882,765.5526248608081,6.86193043938,771.4207636864207,2.2794530391693115,0
none,6.0,0.1,40.90909090909091,12.151628966044427,765.5526248608082,2.52941324589,774.681865001037,6.746454954147339,3
none,6.0,0.1,204.54545454545453,12.151628966044427,765.5526248608081,7.09684628746,774.9753889421921,2.762465000152588,0
none,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,-0.324869797337,765.6546554792617,11.790221929550171,13
none,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,4.14518178463,768.8443708827627,3.93955397605896,4
