tech,id,rho,angle,w,a,we,ae,mt,error
mouse,4.0,0.3,171.81818181818178,51.03684165738741,765.5526248608082,-10.0807693779,750.9432662632889,1.0071132183074951,0
mouse,4.0,0.3,335.45454545454544,51.03684165738741,765.5526248608082,-6.01837410297,749.9999100546182,0.8847348690032959,0
mouse,4.0,0.3,139.0909090909091,51.036841657387185,765.5526248608082,1.00874681005,763.3969825346408,0.9509470462799072,0
mouse,4.0,0.3,302.7272727272727,51.03684165738741,765.5526248608082,15.6518355541,779.5932709126525,0.8672559261322021,0
mouse,4.0,0.3,106.36363636363633,51.036841657387185,765.5526248608081,-22.7087489734,762.5864818992171,0.8677000999450684,0
mouse,4.0,0.3,270.0,51.036841657387185,765.5526248608082,-8.7763124304,734.0,0.6835479736328125,0
mouse,4.0,0.3,73.63636363636364,51.03684165738696,765.5526248608081,0.385309285798,762.015005383766,0.9515218734741211,0
mouse,4.0,0.3,237.27272727272725,51.03684165738741,765.5526248608081,6.26070500863,769.318785029894,0.8004510402679443,0
mouse,4.0,0.3,40.90909090909091,51.03684165738741,765.5526248608082,5.80555037305,778.1597798090073,0.7676360607147217,0
mouse,4.0,0.3,204.54545454545453,51.03684165738741,765.5526248608081,-2.93051082769,772.619097636634,1.2341549396514893,0
mouse,3.0,0.6,171.81818181818178,109.36466069440121,765.5526248608082,-1.03006156267,759.2887823131563,0.5064151287078857,0
mouse,3.0,0.6,335.45454545454544,109.36466069440166,765.5526248608082,-0.545995660237,764.0743914685441,0.5673878192901611,0
mouse,3.0,0.6,139.0909090909091,109.36466069440144,765.5526248608082,-0.0478358281006,756.0467648441942,0.851161003112793,0
mouse,3.0,0.6,302.7272727272727,109.36466069440166,765.5526248608082,28.9301382395,787.6422985611908,0.7674951553344727,0
mouse,3.0,0.6,106.36363636363633,109.36466069440098,765.5526248608081,25.9807792712,823.4065328915575,0.7173588275909424,0
mouse,3.0,0.6,270.0,109.36466069440098,765.5526248608082,33.2236875696,815.0,0.733950138092041,0
mouse,3.0,0.6,73.63636363636364,109.36466069440121,765.5526248608081,-31.4985380479,760.5692234524341,0.6507580280303955,0
mouse,3.0,0.6,237.27272727272725,109.36466069440144,765.5526248608081,-30.6286605072,701.2447645371706,0.7169589996337891,0
mouse,3.0,0.6,40.90909090909091,109.36466069440166,765.5526248608082,-37.2189807588,695.0328270023172,0.7676589488983154,0
mouse,3.0,0.6,204.54545454545453,109.36466069440121,765.5526248608081,-15.8443678676,716.4943114695607,0.6836788654327393,0
mouse,5.0,0.2,171.81818181818178,24.69524596325209,765.5526248608082,-9.9384545396,753.6344833384173,1.257253885269165,1
mouse,5.0,0.2,335.45454545454544,24.695245963251637,765.5526248608082,-0.581987297092,755.8517118734991,1.1020050048828125,0
mouse,5.0,0.2,139.0909090909091,24.695245963251864,765.5526248608082,1.71313523549,765.211148204576,0.9673459529876709,0
mouse,5.0,0.2,302.7272727272727,24.69524596325209,765.5526248608082,1.59055359803,769.0181723145183,0.9680562019348145,0
mouse,5.0,0.2,106.36363636363633,24.695245963251637,765.5526248608081,-1.82849416009,766.7593283011776,1.1316189765930176,1
mouse,5.0,0.2,270.0,24.695245963251864,765.5526248608082,-4.7763124304,758.0,1.0032999515533447,0
mouse,5.0,0.2,73.63636363636364,24.69524596325209,765.5526248608081,1.23050695632,762.1904540392853,0.8848428726196289,0
mouse,5.0,0.2,237.27272727272725,24.695245963251864,765.5526248608081,1.45321191372,766.1332143873536,0.9834060668945312,0
mouse,5.0,0.2,40.90909090909091,24.695245963251637,765.5526248608082,-1.95372305131,767.3279803957383,0.9017050266265869,0
mouse,5.0,0.2,204.54545454545453,24.695245963251864,765.5526248608081,-0.280416810973,765.1844377350965,1.0838470458984375,0
mouse,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,-2.01988300455,759.0105350626419,1.203536033630371,0
mouse,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,-0.402978192142,763.3077769412848,1.0847699642181396,0
mouse,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-1.76294611505,764.0518432685859,2.2737371921539307,1
mouse,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,3.69253225455,767.5151087376404,2.230759859085083,1
