id,rho,angle,w,a,we,ae,mt,error
5.0,0.2,307.6391641937759,29.63429515590201,231.4871699525438,40.20731394954119,378.78077247202157,0.9076290130615234,0
5.0,0.2,35.832577570126425,29.634295155902237,243.74603464944465,48.69055695856212,386.93320251907477,1.0175089836120605,0
5.0,0.2,339.1646475390776,29.634295155902237,254.49160243351915,48.44797909303672,366.28065944967386,1.5347940921783447,2
5.0,0.2,6.832337772615822,29.63429515590269,260.66844915682987,27.01117100343937,340.04742582854027,1.184973955154419,0
5.0,0.2,173.16766222738408,29.634295155902237,260.66844915683004,15.544484965776016,300.6740727351552,0.8460490703582764,0
5.0,0.2,200.83535246092245,29.634295155902237,254.4916024335192,8.976667095457302,267.42499698324326,1.0722129344940186,0
5.0,0.2,144.16742242987357,29.634295155902237,243.74603464944443,27.25014263172894,254.17505763409278,1.1134870052337646,0
5.0,0.2,232.3608358062241,29.634295155902237,231.4871699525437,34.22322041132454,259.4031375897066,0.9051520824432373,0
5.0,0.2,109.41000060152122,29.634295155902237,221.67131882688324,19.775321026125738,282.938377069308,0.9845309257507324,0
5.0,0.2,270.0,29.63429515590201,217.89899599350963,4.050502003245242,320.0,1.0506889820098877,0
6.0,0.1,307.6391641937759,14.581954759253449,231.4871699525438,45.388049107802615,373.78122312465615,1.2203710079193115,0
6.0,0.1,35.832577570126425,14.581954759253676,243.74603464944465,51.5733749251066,379.5018286749173,1.3847870826721191,0
6.0,0.1,339.1646475390776,14.581954759253449,254.49160243351915,50.98690886269101,359.7800651185187,1.217771053314209,0
6.0,0.1,6.832337772615822,14.581954759253222,260.66844915682987,34.43731818124137,328.3705723158215,1.1512548923492432,0
6.0,0.1,173.16766222738408,14.581954759253676,260.66844915683004,12.922682536975083,296.8214430241662,1.0675349235534668,0
6.0,0.1,200.83535246092245,14.581954759253676,254.4916024335192,12.979982066196929,273.16508003455243,1.1678571701049805,0
6.0,0.1,144.16742242987357,14.581954759253222,243.74603464944443,22.520550137292428,254.57943975709605,1.1511878967285156,0
6.0,0.1,232.3608358062241,14.581954759253449,231.4871699525437,29.29080021752545,251.96084189732343,1.3557140827178955,0
6.0,0.1,109.41000060152122,14.581954759253676,221.67131882688324,22.658627640609115,279.5518567746545,1.04691481590271,0
6.0,0.1,270.0,14.581954759253449,217.89899599350963,2.050502003245242,320.0,1.2055871486663818,0
4.0,0.3,307.6391641937759,61.24420998886467,231.4871699525438,46.743680587444054,370.9761051578463,0.9066429138183594,0
4.0,0.3,35.832577570126425,61.24420998886444,243.74603464944465,53.95932561700307,372.5210795295854,0.9182310104370117,0
4.0,0.3,339.1646475390776,61.24420998886467,254.49160243351915,60.779450768662514,350.74803449239306,0.7677140235900879,0
4.0,0.3,6.832337772615822,61.24420998886444,260.66844915682987,29.747351737723857,321.6216140061233,0.917111873626709,0
4.0,0.3,173.16766222738408,61.244209988864895,260.66844915683004,0.7765654315191372,319.7313038667349,0.7677531242370605,0
4.0,0.3,200.83535246092245,61.24420998886467,254.4916024335192,4.03874573323283,280.7743758688313,0.7835469245910645,0
4.0,0.3,144.16742242987357,61.24420998886444,243.74603464944443,33.64547303723405,254.62568233291847,0.7347099781036377,0
4.0,0.3,232.3608358062241,61.24420998886467,231.4871699525437,29.176743560195657,260.5775832584521,0.8171329498291016,0
4.0,0.3,109.41000060152122,61.24420998886444,221.67131882688324,15.338010837699809,270.12021010426577,0.8676481246948242,0
4.0,0.3,270.0,61.24420998886467,217.89899599350963,3.949497996754758,308.0,0.7337279319763184,0
6.0,0.1,307.6391641937759,14.581954759253449,231.4871699525438,43.012431916351105,377.74058511040874,1.1238000392913818,0
6.0,0.1,35.832577570126425,14.581954759253676,243.74603464944465,53.55494349399975,379.2765163255044,1.3805370330810547,1
6.0,0.1,339.1646475390776,14.581954759253449,254.49160243351915,48.05064498583635,361.0703552079652,1.039241075515747,0
6.0,0.1,6.832337772615822,14.581954759253222,260.66844915682987,31.815515752440437,333.33506492924727,1.2135469913482666,0
6.0,0.1,173.16766222738408,14.581954759253676,260.66844915683004,9.426945965240508,303.6527683032106,1.1343679428100586,0
6.0,0.1,200.83535246092245,14.581954759253676,254.4916024335192,9.241556500257554,271.7423452427058,1.2344849109649658,0
6.0,0.1,144.16742242987357,14.581954759253222,243.74603464944443,24.952743405011233,253.76870866785652,1.0391581058502197,0
